lfm,water_potential,mpa,year,month,year_month,plant,F.Group,spp
115.02507814203668,-3.51,3.51,2021,august,2021_august,27,Gymnosperm,ABCO
139.88650693568755,-2.2,2.2,2021,august,2021_august,27,Gymnosperm,ABCO
148.2448544594684,-0.42,0.42,2021,august,2021_august,27,Gymnosperm,ABCO
148.42188582170772,-2.34,2.34,2021,august,2021_august,27,Gymnosperm,ABCO
164.73208349953487,-0.38,0.38,2021,august,2021_august,27,Gymnosperm,ABCO
182.0052579095276,-0.92,0.92,2021,august,2021_august,27,Gymnosperm,ABCO
75.39640121147343,-3.26,3.26,2021,august,2021_august,27,Gymnosperm,ABCO
109.4988781,-4.761,4.761,2020,october,2020_october,8,Angiosperm,QUKE
103.4313725,-2.808,2.808,2020,october,2020_october,8,Angiosperm,QUKE
101.8812463,-1.005,1.005,2020,october,2020_october,1,Angiosperm,CECO
110.6707317,-0.486,0.486,2020,october,2020_october,1,Angiosperm,CECO
35.65905413,-8.25,8.25,2020,october,2020_october,1,Angiosperm,CECO
57.86986661688687,-6.78,6.78,2020,october,2020_october,1,Angiosperm,CECO
82.1880651,-3.827,3.827,2020,october,2020_october,1,Angiosperm,CECO
87.14517437,-2.846,2.846,2020,october,2020_october,1,Angiosperm,CECO
106.2035541,-0.756,0.756,2020,october,2020_october,5,Angiosperm,CECO
105.243958,-1.652,1.652,2020,october,2020_october,5,Angiosperm,CECO
118.3898305,-0.183,0.183,2020,october,2020_october,5,Angiosperm,CECO
50,-8,8,2020,october,2020_october,5,Angiosperm,CECO
57.76793132,-6.664,6.664,2020,october,2020_october,5,Angiosperm,CECO
64.86384266,-4.495,4.495,2020,october,2020_october,5,Angiosperm,CECO
90.80161476,-3.267,3.267,2020,october,2020_october,5,Angiosperm,CECO
114.5489443,-3.489,3.489,2020,october,2020_october,8,Gymnosperm,ABCO
120.1553931,-2.843,2.843,2020,october,2020_october,8,Gymnosperm,ABCO
154.4204322,-2.225,2.225,2020,october,2020_october,8,Gymnosperm,ABCO
158.7854833,-2.262,2.262,2020,october,2020_october,8,Gymnosperm,ABCO
157.138786,-2.4,2.4,2020,october,2020_october,8,Gymnosperm,ABCO
184.5419019,-0.164,0.164,2020,october,2020_october,8,Gymnosperm,ABCO
180.3813038,-0.7282,0.7282,2020,october,2020_october,8,Gymnosperm,ABCO
93.35400975,-4.498,4.498,2020,october,2020_october,8,Gymnosperm,ABCO
104.5765387,-0.107,0.107,2020,october,2020_october,9,Angiosperm,CECO
53.98639456,-9,9,2020,october,2020_october,9,Angiosperm,CECO
73.10855263,-4.046,4.046,2020,october,2020_october,9,Angiosperm,CECO
81.45108339,-2.983,2.983,2020,october,2020_october,9,Angiosperm,CECO
95.05094614,-2.474,2.474,2020,october,2020_october,9,Angiosperm,CECO
136.1993663,-0.46,0.46,2020,september,2020_september,13,Gymnosperm,CADE
115.3629032,-1.15,1.15,2020,september,2020_september,13,Gymnosperm,CADE
95.56915545,-1.11,1.11,2020,september,2020_september,13,Gymnosperm,CADE
110.471365,-1.56,1.56,2020,september,2020_september,13,Gymnosperm,CADE
128.9367235,-1.54,1.54,2020,september,2020_september,13,Gymnosperm,CADE
94.20064908,-2.09,2.09,2020,september,2020_september,13,Gymnosperm,CADE
92.06581353,-2.79,2.79,2020,september,2020_september,13,Gymnosperm,CADE
90.93294461,-3.35,3.35,2020,september,2020_september,13,Gymnosperm,CADE
73.5379111,-3.97,3.97,2020,september,2020_september,13,Gymnosperm,CADE
118.8759516,-3.379,3.379,2020,october,2020_october,11,Gymnosperm,ABCO
123.3785822,-2.888,2.888,2020,october,2020_october,11,Gymnosperm,ABCO
128.9180766,-3.24,3.24,2020,october,2020_october,11,Gymnosperm,ABCO
147.2995639,-2.447,2.447,2020,october,2020_october,11,Gymnosperm,ABCO
147.525217,-2.884,2.884,2020,october,2020_october,11,Gymnosperm,ABCO
158.0711354,-0.152,0.152,2020,october,2020_october,11,Gymnosperm,ABCO
153.3731853,-2.59,2.59,2020,october,2020_october,11,Gymnosperm,ABCO
168.1119649,-0.992,0.992,2020,october,2020_october,11,Gymnosperm,ABCO
128.2804811,-0.54,0.54,2020,september,2020_september,16,Gymnosperm,CADE
114.6577137,-1.07,1.07,2020,september,2020_september,16,Gymnosperm,CADE
127.078341,-1.06,1.06,2020,september,2020_september,16,Gymnosperm,CADE
NA,-1.64,NA,2020,september,2020_september,34,Gymnosperm,CADE
107.403278,-1.57,1.57,2020,september,2020_september,16,Gymnosperm,CADE
93.88598782,-2.37,2.37,2020,september,2020_september,16,Gymnosperm,CADE
95.25222552,-2.89,2.89,2020,september,2020_september,16,Gymnosperm,CADE
92.64280274,-3.55,3.55,2020,september,2020_september,16,Gymnosperm,CADE
76.74121406,-3.99,3.99,2020,september,2020_september,16,Gymnosperm,CADE
108.8312369,-3.501,3.501,2020,october,2020_october,3,Gymnosperm,PIJE
112.3178808,-3.748,3.748,2020,october,2020_october,3,Gymnosperm,PIJE
122.3776224,-3.007,3.007,2020,october,2020_october,3,Gymnosperm,PIJE
146.4377999,-1.68,1.68,2020,october,2020_october,3,Gymnosperm,PIJE
96.59353349,-3.761,3.761,2020,october,2020_october,3,Gymnosperm,PIJE
100.9353396,-1.037,1.037,2020,october,2020_october,3,Angiosperm,CECO
118.2514359,-0.58,0.58,2020,october,2020_october,3,Angiosperm,CECO
59.03554561,-6.513,6.513,2020,october,2020_october,3,Angiosperm,CECO
51.81236674,-8,8,2020,october,2020_october,3,Angiosperm,CECO
77.26681128,-2.003,2.003,2020,october,2020_october,3,Angiosperm,CECO
71.73038229,-4.884,4.884,2020,october,2020_october,3,Angiosperm,CECO
89.40914158,-3.338,3.338,2020,october,2020_october,3,Angiosperm,CECO
110.8817355,-1.293,1.293,2020,october,2020_october,4,Angiosperm,CECO
130.4599659,-0.384,0.384,2020,october,2020_october,4,Angiosperm,CECO
68.15415822,-5.098,5.098,2020,october,2020_october,4,Angiosperm,CECO
61.47123088,-6.632,6.632,2020,october,2020_october,4,Angiosperm,CECO
81.04964539,-3.872,3.872,2020,october,2020_october,4,Angiosperm,CECO
85.70658037,-3.302,3.302,2020,october,2020_october,4,Angiosperm,CECO
107.4138792,-0.098,0.098,2020,october,2020_october,8,Angiosperm,ARPA
110.07091206570873,-1.212,1.212,2020,october,2020_october,8,Angiosperm,ARPA
78.97819063,-4.78,4.78,2020,october,2020_october,8,Angiosperm,ARPA
125.7525084,-0.134,0.134,2020,october,2020_october,4,Angiosperm,ARPA
127.0564584,-2.047,2.047,2020,october,2020_october,4,Angiosperm,ARPA
124.516129,-0.743,0.743,2020,october,2020_october,4,Angiosperm,ARPA
44.49815183,-3.377,3.377,2020,october,2020_october,4,Angiosperm,ARPA
44.49815183,-3.377,3.377,2020,october,2020_october,4,Angiosperm,ARPA
41.581418092498794,-10,NA,2020,october,2020_october,4,Angiosperm,ARPA
84.00154949,-4.931,4.931,2020,october,2020_october,4,Angiosperm,ARPA
98.41703057,-4.063,4.063,2020,october,2020_october,4,Angiosperm,ARPA
115.4129054,-3.805,3.805,2020,october,2020_october,9,Gymnosperm,PIJE
127.9491133,-4.285,4.285,2020,october,2020_october,9,Gymnosperm,PIJE
120.7798383,-2.891,2.891,2020,october,2020_october,9,Gymnosperm,PIJE
149.8314752,-2.684,2.684,2020,october,2020_october,9,Gymnosperm,PIJE
141.979835,-2.376,2.376,2020,october,2020_october,9,Gymnosperm,PIJE
140.8064516,-3.636,3.636,2020,october,2020_october,9,Gymnosperm,PIJE
169.8667892,-0.744,0.744,2020,october,2020_october,9,Gymnosperm,PIJE
177.7408638,-0.401,0.401,2020,october,2020_october,9,Gymnosperm,PIJE
105.0582465,-0.73,0.73,2020,october,2020_october,6,Angiosperm,CECO
128.1349749,-0.138,0.138,2020,october,2020_october,6,Angiosperm,CECO
57.74559194,-1.841,1.841,2020,october,2020_october,6,Angiosperm,CECO
57.43785851,-9,9,2020,october,2020_october,6,Angiosperm,CECO
83.7044055,-4.08,4.08,2020,october,2020_october,6,Angiosperm,CECO
86.60054864,-5.326,5.326,2020,october,2020_october,6,Angiosperm,CECO
128.18013,-0.113,0.113,2020,october,2020_october,3,Angiosperm,ARPA
75.26529037,-5.558,5.558,2020,october,2020_october,3,Angiosperm,ARPA
84.92503594,-4.883,4.883,2020,october,2020_october,3,Angiosperm,ARPA
95.36850584,-3.749,3.749,2020,october,2020_october,3,Angiosperm,ARPA
115.8615538,-0.072,0.072,2020,october,2020_october,1,Angiosperm,ARPA
71.06050532,-5.761,5.761,2020,october,2020_october,1,Angiosperm,ARPA
88.39779006,-4.008,4.008,2020,october,2020_october,1,Angiosperm,ARPA
95.97623548,-3.025,3.025,2020,october,2020_october,1,Angiosperm,ARPA
162.1785962,-0.42,0.42,2020,september,2020_september,12,Gymnosperm,ABCO
200.409667924244,-1.61,1.61,2020,september,2020_september,12,Gymnosperm,ABCO
189.954213183078,-2.14,2.14,2020,september,2020_september,12,Gymnosperm,ABCO
201.8732493,-2.12,2.12,2020,september,2020_september,12,Gymnosperm,ABCO
198.9374419,-2.38,2.38,2020,september,2020_september,12,Gymnosperm,ABCO
187.0168753,-2.38,2.38,2020,september,2020_september,12,Gymnosperm,ABCO
162.739726,-2.65,2.65,2020,september,2020_september,12,Gymnosperm,ABCO
166.3409338,-2.79,2.79,2020,september,2020_september,12,Gymnosperm,ABCO
135.3348159,-3.59,3.59,2020,september,2020_september,12,Gymnosperm,ABCO
116.1696179,-2.592,2.592,2020,october,2020_october,7,Gymnosperm,ABCO
123.9273927,-1.769,1.769,2020,october,2020_october,7,Gymnosperm,ABCO
144.363104,-2.701,2.701,2020,october,2020_october,7,Gymnosperm,ABCO
174.6666667,-0.155,0.155,2020,october,2020_october,7,Gymnosperm,ABCO
180.3030303,-0.995,0.995,2020,october,2020_october,7,Gymnosperm,ABCO
64.23272159,-4.714,4.714,2020,october,2020_october,7,Gymnosperm,ABCO
93.86503067,-3.061,3.061,2020,october,2020_october,7,Gymnosperm,ABCO
112.1617107,-2.7,2.7,2020,october,2020_october,4,Gymnosperm,CADE
133.6162188,-0.925,0.925,2020,october,2020_october,4,Gymnosperm,CADE
131.8774644,-1.234,1.234,2020,october,2020_october,4,Gymnosperm,CADE
131.9970712,-2.224,2.224,2020,october,2020_october,4,Gymnosperm,CADE
151.9475358,-0.218,0.218,2020,october,2020_october,4,Gymnosperm,CADE
81.68757127,-3.966,3.966,2020,october,2020_october,4,Gymnosperm,CADE
96.12940497,-2.941,2.941,2020,october,2020_october,4,Gymnosperm,CADE
143.5522467,-0.98,0.98,2020,september,2020_september,18,Angiosperm,QUKE
138.6967195,-0.198,0.198,2020,september,2020_september,18,Angiosperm,QUKE
88.24587706,-2.84,2.84,2020,september,2020_september,18,Angiosperm,QUKE
