individual,site,year,month,year.month,lfm.outliers.out,lfm.NAs.imputed,mpa,dw.flam.sample,ww.flam.sample,sample.wt,spp,start.temp,gww.gdw.saturated,gdw.gww.saturated,fd,fh,gd,gti,pfg,dry.norm.fd,dry.norm.fh,dry.norm.gd,dry.norm.gti,dry.norm.pfg,temp.max,ttfg,tti,temp.change,PC1,PC2,PC3,PC4,model,LFM,prop.ignite,bins10lfm,flam.index,precip.2mo,prop.ignite.bins5
2020_September_CEME_1.5,St. Marys,2020,September,2020_September,118.0670754,118.0670754,0.145,0.25166568546386636,0.2971343145361336,0.5488,CEME,281.7,1.180670754,0.846976175931582,6,10.5,141,65,38,23.841152554989335,41.72201697123134,560.2670850422494,258.27915267905115,150.99396618159912,321.9,21,86,40.19999999999999,3.2752399889332624,2.0635594261215884,0.8658942463924393,-2.7569305431542004,EPI,118.0670754,100,"(110,120]",6.48803755694398,0.01,100
2020_September_CEME_1.6,St. Marys,2020,September,2020_September,98.7012987,98.7012987,0.491,0.2320568627450981,0.2290431372549019,0.4611,CEME,273.8,1.000726216,0.9992743105950652,6,10.5,163,29,129,25.855731776356365,45.247530608623634,702.4140465910145,124.96937025238908,555.8982331916618,287,19,48,13.199999999999989,1.405373308431234,-0.92946053071046,0.26451650733577997,0.7843892029725962,EPI,98.7012987,67,"(90,100]",8.06999835954569,0.01,80
2020_September_CEME_2.1,Painted Caves,2020,September,2020_September,108.3877996,108.3877996,0.641,0.21891876633559856,0.23728123366440143,0.4562,CEME,283.8,1.083877996,0.9226130653266332,6,10.5,120,40,78,27.407426509987303,47.96299639247778,548.148530199746,182.7161767332487,356.29654462983495,324.4,20,60,40.599999999999966,1.1943713017671898,0.9832197032432657,0.1768990342576774,-1.2027226320960998,EPI,108.3877996,57,"(100,110]",7.391276882712578,0.01,67
2020_September_CEME_2.2,Painted Caves,2020,September,2020_September,106.6985646,106.6985646,0.226,0.2382212962962963,0.2541787037037037,0.4924,CEME,278.3,1.066985646,0.937219730941704,6,10.5,154,29,107,25.18666506010984,44.07666385519222,646.4577365428192,121.7355477905309,449.1621935719589,300.8,27,56,22.5,1.5216921212842445,-0.324718552460289,-0.7257245965158577,0.03639866704572492,EPI,106.6985646,57,"(100,110]",7.591095127716975,0.01,67
2020_September_CEME_2.4,Painted Caves,2020,September,2020_September,112.4834583,112.4834583,0.159,0.24293655802366615,0.2732634419763338,0.5162,CEME,276.5,1.124834583,0.8890196078431373,6,10.5,122,43,77,24.69780608077726,43.22116064136021,502.18872364247096,177.0009435789037,316.9551780366415,282.6,27,70,6.100000000000023,2.0870480826539493,1.4039239356832232,-0.48016801024264344,-0.7591419956823189,EPI,112.4834583,100,"(110,120]",6.976502646870121,0.01,100
2020_September_CEME_2.5,Painted Caves,2020,September,2020_September,106.4761054,106.4761054,0.328,0.24860019467878,0.26469980532121995,0.5133,CEME,270.4,1.256987902,0.7955526053767009,6,10.5,134,29,103,24.13513797828151,42.23649146199264,539.0180815149537,116.6531668950273,414.31986862716593,290.4,19,48,20,0.758184892008436,0.18287030157867398,0.1156680437372121,0.337101006514982,EPI,106.4761054,57,"(100,110]",8.06999835954569,0.01,67
2020_September_CEME_2.6,Painted Caves,2020,September,2020_September,126.0159196,126.0159196,0.447,0.22347983317886932,0.28162016682113067,0.5051,CEME,276.2,1.260159196,0.7935505319148936,6,10.5,171,51,111,26.848060134346465,46.98410523510631,765.1697138288743,228.20851114194497,496.6891124854096,297.8,16,67,21.600000000000023,2.976892238591354,-0.3034884454062139,1.2370122684244385,-0.592595741159981,EPI,126.0159196,80,"(120,130]",7.089978617053435,0.01,80
2020_September_CEME_1.1,St. Marys,2020,September,2020_September,93.56357928,93.56357928,1.644,0.26451257096512576,0.24748742903487425,0.512,CEME,276.1,1.010507881,0.9896013864818024,7,4,132,46,79,26.4637706043956,15.1221546310832,499.0311028257456,173.9047782574568,298.6625539638932,365.1,16,62,89,1.939384107373499,0.6702776472011633,0.5719860374798826,-1.8697010810448134,EPI,93.56357928,67,"(90,100]",6.2765869106639895,0.01,50
2020_September_CEME_1.2,St. Marys,2020,September,2020_September,81.51171043,81.51171043,1.089,0.30031120234604114,0.2447887976539589,0.5451,CEME,277.6,1.259367872,0.7940491591203105,7,15,92,24,61,23.309153788855586,49.94818669040482,306.3488783678162,79.91709870464771,203.12262587431292,339.1,22,46,61.5,-1.0965843183561166,1.1961449925562881,-0.49693969218154904,-1.1540615129785898,EPI,81.51171043,38,"(80,90]",8.868617637055145,0.01,27
2020_September_CEME_1.3,St. Marys,2020,September,2020_September,112.830033,112.830033,2.113,0.23121736770691995,0.26088263229308006,0.4921,CEME,273.6,1.254435309,0.7971714384270439,1,7,141,27,113,4.324934627175377,30.274542390227644,609.8157824317283,116.7732349337352,488.7176128708177,290,20,47,16.399999999999977,1.4855194114148786,0.35891068409681154,-0.12135475884374856,0.577781490650518,EPI,112.830033,100,"(110,120]",7.5574918841523475,0.01,100
2020_September_CEME_1.4,St. Marys,2020,September,2020_September,99.32743363,99.32743363,1.39,0.24728156632924875,0.24561843367075128,0.4929,CEME,268.5,1.066751162,0.9374257425742574,15,11,119,18,86,60.6595963567616,44.48370399495851,481.23279776364205,72.79151562811393,347.78168577876653,338.9,20,38,70.39999999999998,-1.344383221730394,-0.5719791276448745,-0.4649289967455188,-0.15300498391169076,EPI,99.32743363,67,"(90,100]",8.966545235239728,0.01,80
2020_September_CEME_1.6,St. Marys,2020,September,2020_September,69.83870968,69.83870968,3.628,0.324366571699905,0.22653342830009493,0.5509,CEME,286.2,1.000726216,0.9992743105950652,12,11.5,171,33,126,36.99518090631752,35.45371503522096,527.1813279150247,101.73674749237318,388.449399516334,395.5,1,34,109.3,-0.2741039665253211,-2.454808603270968,2.348619066354852,-0.896496907796411,EPI,69.83870968,82,"(60,70]",9.48023549312409,0.01,75
2020_September_CEME_2.1,Painted Caves,2020,September,2020_September,102.5523013,102.5523013,1.082,0.22952096674240857,0.2353790332575914,0.4649,CEME,277.1,1.083877996,0.9226130653266332,14,7,165,16,135,60.99660609966062,30.49830304983031,718.8885718888572,69.7104069710407,588.181558818156,331.4,33,49,54.299999999999955,0.8416270936916397,-2.2355038051173652,-1.9304081495362977,0.5230620454196673,EPI,102.5523013,57,"(100,110]",7.431584049217116,0.01,44
2020_September_CEME_2.2,Painted Caves,2020,September,2020_September,93.63970588,93.63970588,1.625,0.2534604138978546,0.2373395861021454,0.4908,CEME,279.6,1.066985646,0.937219730941704,6,8,169,36,127,23.67233568243923,31.563114243252308,666.770788388705,142.03401409463538,501.0644386116303,276.2,14,50,-3.400000000000034,2.0021681348890086,-0.6935380277682197,0.9966573626639913,0.8680585831793556,EPI,93.63970588,67,"(90,100]",7.540819761538026,0.01,50
2020_September_CEME_2.4,Painted Caves,2020,September,2020_September,109.5989761,109.5989761,0.987,0.21922817016079787,0.24027182983920217,0.4595,CEME,287.9,1.124834583,0.8890196078431373,6,10.5,82,30,48,27.368745520245707,47.895304660429986,374.0395221100246,136.84372760122852,218.94996416196565,311.4,11,41,23.5,-0.9746600006012464,2.230339788081598,0.786871021280696,-0.6555905614667168,EPI,109.5989761,57,"(100,110]",8.606526629783701,0.01,67
2020_September_CEME_2.5,Painted Caves,2020,September,2020_September,83.55605048,83.55605048,3.85,0.28759607684529825,0.24030392315470175,0.5279,CEME,273.8,1.256987902,0.7955526053767009,4,13.5,156,24,128,13.90839556602037,46.94083503531875,542.4274270747944,83.45037339612222,445.06865811265186,338.8,19,43,65,0.5422265179108282,-1.233517889026801,0.12511389048804553,-0.12415670577904403,EPI,83.55605048,38,"(80,90]",8.901744116765329,0.01,27
2020_September_CEME_2.6,Painted Caves,2020,September,2020_September,110.312076,110.312076,1.197,0.24316245161290323,0.26823754838709674,0.5114,CEME,283.4,1.260159196,0.7935505319148936,1,3,112,37,74,4.112477043091861,12.337431129275584,460.5974288262884,152.16165059439885,304.3233011887977,304.3,15,52,20.90000000000003,1.5441180504337433,2.0173006877410278,0.4287960807775363,-0.4351137414986198,EPI,110.312076,100,"(110,120]",6.528218911423593,0.01,100
2020_September_CEME_1.1,St. Marys,2020,September,2020_September,85.40225701,85.40225701,2.989,0.2580335362261928,0.2203664637738072,0.4784,CEME,278.3,1.010507881,0.9896013864818024,7,4,168,36,125,27.128256669178786,15.501860953816449,651.0781600602908,139.51674858434802,484.433154806764,333.3,23,59,55,2.5848896452173404,-0.9793448420735896,-0.288454032417028,-0.3464592423714338,EPI,85.40225701,38,"(80,90]",6.39672983810511,0.01,60
2020_September_CEME_1.4,St. Marys,2020,September,2020_September,77.79329609,77.79329609,3.17,0.3145787902592302,0.24472120974076983,0.5593,CEME,274.1,1.066751162,0.9374257425742574,8,16,127,28,91,25.430830837029923,50.861661674059846,403.71443953785007,89.00790792960474,289.2757007712154,427.2,23,51,153.09999999999997,-0.4562466450809821,-0.8911319242061531,-0.44051598453169916,-2.6291197941939335,EPI,77.79329609,78,"(70,80]",8.636067363862477,0.01,89
2020_September_CEME_1.5,St. Marys,2020,September,2020_September,75.43010753,75.43010753,4.048,0.2354213913576463,0.17757860864235364,0.413,CEME,275.7,1.180670754,0.846976175931582,4,6,108,21,83,16.99080944570283,25.486214168554245,458.7518550339764,89.20174958993985,352.5592959983337,283.9,14,35,8.199999999999989,-0.23216640617055118,1.330611851283918,0.2149806521472372,0.8133518221816611,EPI,75.43010753,78,"(70,80]",8.33264660361426,0.01,89
2020_September_CEME_1.6,St. Marys,2020,September,2020_September,100.0726216,100.0726216,0.909,0.2773992740471869,0.27760072595281315,0.555,CEME,273.7,1.000726216,0.9992743105950652,6,10.5,132,43,87,21.62947260986477,37.85157706726335,475.84839741702496,155.01122037069752,313.62735284303915,303.2,31,74,29.5,2.4868218611534876,0.8423038719121378,-0.9289918992397759,-1.1224842605995387,EPI,100.0726216,57,"(100,110]",6.8374453886108,0.01,44
2020_September_CEME_2.1,Painted Caves,2020,September,2020_September,90.43245312,90.43245312,3.183,0.2616675844051447,0.23663241559485532,0.4983,CEME,267.6,1.083877996,0.9226130653266332,5,10,146,17,124,19.108213236907513,38.21642647381503,557.9598265176994,64.96792500548554,473.8836882753063,405.7,30,47,138.09999999999997,0.4335616513417776,-1.5398149285758702,-1.6254640333892556,-1.303504065441426,EPI,90.43245312,67,"(90,100]",8.060110701648433,0.01,50
