effect,group,term,estimate,std.error,statistic,df,p.value,y_var
fixed,NA,(Intercept),79.53899078797579,11.551683924643653,6.885488843604195,105.20288295932922,4.332232254256274e-10,tti
fixed,NA,spparpa,-3.5471072967093544,10.012659812223342,-0.3542622403268995,135.6486608497475,0.7236924575462198,tti
fixed,NA,sppcade,3.3351455225441287,10.603164808072249,0.314542458116379,154.88927884952923,0.7535323720284671,tti
fixed,NA,sppceco,287.8903383912018,15.056387138031152,19.1208113707448,444.952460459829,6.320803709428666e-60,tti
fixed,NA,spppije,-12.48987563573511,13.889831638226122,-0.8992100092388304,213.30658245629715,0.3695547732613673,tti
fixed,NA,sppquke,-27.568494761478952,11.657502603809625,-2.364871422157751,156.22225681961618,0.019264647169472533,tti
fixed,NA,mpa_scaled,2.3763985172603177,12.942526913507287,0.1836116341995181,815.8274938717776,0.8543637594905602,tti
fixed,NA,lfm_scaled,7.002780392064701,7.2197249239860595,0.9699511360605161,730.8364045004035,0.3323917367878483,tti
fixed,NA,site,-1.4054565279380937,5.568833299255531,-0.2523789907889651,61.61539765721115,0.8015881547892972,tti
fixed,NA,year_month2020_september,3.810050502636729,5.336467316381879,0.7139649278729099,77.83538582652903,0.47738442944299586,tti
fixed,NA,sample_wt_scaled,8.827155620261397,4.763520070334251,1.853074090153252,522.0115977135445,0.06443584976415016,tti
fixed,NA,spparpa:mpa_scaled,-16.999065578349587,15.532498496796721,-1.0944192643479294,808.7917959018935,0.274096957341703,tti
fixed,NA,sppcade:mpa_scaled,-13.808235924096454,18.070218231563707,-0.7641432852192819,807.0111412968866,0.44500521842853724,tti
fixed,NA,sppceco:mpa_scaled,33.292170699565176,16.716321221526588,1.9915967310255378,814.468696663987,0.04674889466965379,tti
fixed,NA,spppije:mpa_scaled,-2.1975694385627613,17.370096080603115,-0.12651452406280866,783.1607873081151,0.8993571256965223,tti
fixed,NA,sppquke:mpa_scaled,21.905669971747738,18.470535924789154,1.1859791216100188,815.5190840522536,0.2359759638308598,tti
fixed,NA,spparpa:lfm_scaled,12.883648087662513,11.608443695977874,1.1098514516744804,622.2163377358994,0.26749178240168764,tti
fixed,NA,sppcade:lfm_scaled,14.507712012062244,14.699447647044048,0.9869562694064657,717.4521244185873,0.32399679879335264,tti
fixed,NA,sppceco:lfm_scaled,-42.45251997851314,20.90840002711063,-2.030405001026744,807.7242750943999,0.04264256405669459,tti
fixed,NA,spppije:lfm_scaled,3.139640926196003,12.712389236169733,0.2469748894458791,453.52114622320425,0.8050394154869073,tti
fixed,NA,sppquke:lfm_scaled,-11.400244933976671,19.1407863502934,-0.5955996125416196,801.2769850082894,0.5516109195884225,tti
ran_pars,individual,sd__(Intercept),14.087898514141573,NA,NA,NA,NA,tti
ran_pars,Residual,sd__Observation,57.535211771414275,NA,NA,NA,NA,tti
