spp,lfm,mpa
CADE,92.35745715,-1.533333333
CADE,99.44937004,-1.595
CADE,85.21826065,-1.595
CADE,105.9839167,-1.663333333
CADE,79.30211836,-1.663333333
CADE,110.3902591,-1.355
CADE,79.61354159,-1.355
CADE,140.7070367,-1.403333333
CADE,102.0462117,-1.403333333
CADE,100.5789651,-1.34
CADE,101.2021842,-1.34
CADE,109.413074,-1.355
CADE,98.77548753,-1.355
CADE,126.39876,-1.365
CADE,86.5219701,-1.365
CADE,99.81390179,-1.483333333
CADE,86.44494266,-1.89
CADE,95.18772632,-1.68
CADE,84.77383962,-1.54
CADE,86.20695597,-1.35
CADE,76.30264579,-2.12
CADE,95.05588147,-1.745
CADE,101.9305833,-1.816666667
CADE,95.22846387,-1.873333333
CADE,96.35523029,-2.07
CADE,91.19488509,-2.035
CADE,88.09745019,-2.02
CADE,106.2687287,-1.59
CADE,107.2385841,-1.705
CADE,121.2129693,-1.76
CADE,123.0550719,-1.86
CADE,123.2329856,-1.585
CECO,129.5567545,-0.835
CECO,123.2034472,-0.985
CECO,109.4910508,-1.35
CECO,118.1413434,-0.77
CECO,126.2455748,-0.72
CECO,231.7437232,-1.2
CECO,111.2426499,-1.33
CECO,107.0045262,-1.04
CECO,120.520519,-0.755
CECO,113.311826,-1.365
CECO,210.6060606,-2
CECO,124.3817606,-2
CECO,218.8643533,-1.375
CECO,146.2079836,-1.375
CECO,52.66666667,-1.245
CECO,109.1325093,-1.245
CECO,160.9414301,-1.205
CECO,222.7983131,-1.165
CECO,127.8960527,-1.165
CECO,122.8754009,-1
CECO,232.5147348,-1.09
CECO,127.28302,-1.09
CECO,195.2803407,-1.72
CECO,109.6531351,-1.72
CECO,206.372674,-1.036666667
CECO,161.1894246,-1.036666667
CECO,125.4852052,-1.02
CECO,176.3513514,-1.426666667
CECO,118.8251096,-1.426666667
CECO,147.9619429,-1.36
CECO,130.1788235,-1.36
CECO,198.1276387,-1.045
CECO,116.8895629,-1.045
CECO,205.3347655,-1.295
CECO,121.6524803,-1.295
CECO,192.3656927,-1.285
CECO,155.2757299,-1.285
CECO,233.7137187,-1.143333333
CECO,156.6139347,-1.143333333
CECO,195.7218167,-1.743333333
CECO,134.6851769,-1.743333333
CECO,190.5731119,-1.525
CECO,118.2013665,-1.525
CECO,166.1824052,-1.66
CECO,115.2661217,-1.66
CECO,177.4143081,-1.94
CECO,121.9667606,-1.94
CECO,207.0404016,-1.72
CECO,147.0558298,-1.72
CECO,120.2821429,-1.775
CECO,158.660882,-1.775
CECO,166.8542361,-1.97
CECO,134.9208993,-2.54
CECO,142.1328754,-2.125
CECO,130.2858624,-2.08
CECO,142.3845475,-2.363333333
CECO,129.6445547,-2.03
CECO,172.1364938,-1.705
CECO,176.0875143,-1.79
CECO,177.5106274,-1.67
CECO,143.0413105,-1.733333333
CECO,181.7715446,-1.81
PIJE,129.3963316,-0.88
PIJE,110.760947,-0.88
PIJE,93.60528989,-1.13
PIJE,106.2587628,-1.13
PIJE,100.9473234,-1.275
PIJE,103.1629367,-1.13
PIJE,86.9029508,-1.28
PIJE,117.2271104,-1.275
PIJE,96.03702951,-1.25
PIJE,108.9111581,-1.28
PIJE,109.6734842,-1.77
PIJE,87.82022544,-1.77
PIJE,92.5957753,-1.86
PIJE,77.02601382,-1.86
PIJE,98.84848219,-1.595
PIJE,90.36554954,-1.595
PIJE,95.35045518,-1.49
PIJE,82.67709691,-1.49
PIJE,108.0045563,-1.265
PIJE,88.784219,-1.265
PIJE,98.08319161,-1.96
PIJE,86.0590638,-2.915
PIJE,85.15040352,-2.215
PIJE,78.19259337,-2.465
PIJE,90.4424476,-3.02
PIJE,93.12428363,-2.475
PIJE,195.9679988,-2.05
PIJE,118.5148087,-2.05
PIJE,176.7522602,-2.725
PIJE,94.13435584,-2.725
PIJE,180.4331793,-2.545
PIJE,96.02915284,-2.545
PIJE,154.1603603,-2.62
PIJE,97.50575193,-2.62
PIJE,203.848283,-2.2
PIJE,104.7266543,-2.2
PIJE,181.6213998,-1.495
PIJE,96.64743372,-1.495
QUKE,186.6985534,-1.895
QUKE,128.8229489,-2.16
QUKE,128.5107551,-2.375
QUKE,98.14276514,-3.586666667
QUKE,221.6198325,-1.69
QUKE,208.8373526,-1.716666667
QUKE,69.57057443,-2.9
QUKE,111.499029,-2.83
QUKE,106.3207743,-3.65
QUKE,111.7130933,-3.66
QUKE,117.004306,-2.99
QUKE,122.6487504,-2.735
ABCO,136.7987918,-0.765
ABCO,117.7724041,-0.765
ARPA,105.117549,-0.745
CADE,95.64025459,-1.235
CADE,88.06827813,-1.235
CECO,129.5567545,-0.835
PIJE,129.3963316,-0.88
PIJE,110.760947,-0.88
ABCO,140.4427031,-0.97
ABCO,127.8647084,-0.97
ARPA,107.5271257,-0.535
CADE,101.7575982,-1.005
CADE,82.20119101,-1.005
CECO,123.2034472,-0.985
PIJE,107.9474607,-1.13
PIJE,93.60528989,-1.13
