date,sample,fresh.weight,dry.weight,water.potential,spp,fresh.weight.saturated.excel,RWD.excel,TLP.excel,RWC.at.tlp.excel,Po,SWC,
09.11.2021,2,0.7655,0.4252,-3.552,ADFA,0.8388,17.72,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7457,0.4252,-3.788,ADFA,0.8388,22.51,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.7356,0.4252,-4.109,ADFA,0.8388,24.95,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,2,0.739,0.4252,-4.198,ADFA,0.8388,24.13,-3.403237128,80.13967662,-1.973589017,0.61413072,
09.11.2021,3,0.5036,0.2588,-0.264,ADFA,0.5087,2.03,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4991,0.2588,-0.376,ADFA,0.5087,3.83,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.5012,0.2588,-0.408,ADFA,0.5087,2.99,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4969,0.2588,-0.448,ADFA,0.5087,4.71,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4956,0.2588,-0.546,ADFA,0.5087,5.23,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4953,0.2588,-0.619,ADFA,0.5087,5.35,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.489,0.2588,-0.852,ADFA,0.5087,7.87,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4903,0.2588,-0.866,ADFA,0.5087,7.35,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4873,0.2588,-0.903,ADFA,0.5087,8.55,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4809,0.2588,-1.231,ADFA,0.5087,11.12,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4783,0.2588,-1.254,ADFA,0.5087,12.16,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4864,0.2588,-1.273,ADFA,0.5087,8.91,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4737,0.2588,-1.317,ADFA,0.5087,14,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4665,0.2588,-1.489,ADFA,0.5087,16.88,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.463,0.2588,-1.654,ADFA,0.5087,18.28,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4612,0.2588,-1.761,ADFA,0.5087,19,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.46,0.2588,-1.861,ADFA,0.5087,19.48,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4582,0.2588,-2.024,ADFA,0.5087,20.2,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4555,0.2588,-2.221,ADFA,0.5087,21.28,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4537,0.2588,-2.411,ADFA,0.5087,22,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4511,0.2588,-2.467,ADFA,0.5087,23.04,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4525,0.2588,-2.812,ADFA,0.5087,22.48,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4495,0.2588,-3.099,ADFA,0.5087,23.68,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4467,0.2588,-3.491,ADFA,0.5087,24.8,-3.454289499,75.9822337,-1.449548916,0.7065,
09.11.2021,3,0.4435,0.2588,-3.66,ADFA,0.5087,26.08,-3.454289499,75.9822337,-1.449548916,0.7065,
