"","individual","year.month","dry.wt","spp","model","lfm.NAs.imputed","RWC","max.mpa.sample","mpa","gww.gdw","gww.gdw.saturated","fresh.wt","site","sample"
"126","2018_January_ADFA_2","2018_January",0.2881,"ADFA","EPI",64.80388754,80.309391946418,-0.043,-4.8,0.6480388754,0.8069278819,0.4748,"St. Marys",2
"127","2018_January_ADFA_3","2018_January",0.1841,"ADFA","EPI",68.71265617,87.0215740201966,-0.043,-3.6,0.6871265617,0.7896048416,0.3106,"St. Marys",3
"128","2018_January_ADFA_4","2018_January",0.3595,"ADFA","EPI",69.70792768,84.5833993298515,-0.043,-4.6,0.6970792768,0.8241324921,0.6101,"St. Marys",4
"129","2018_January_ADFA_4","2018_January",0.3595,"ADFA","EPI",69.70792768,84.5833993298515,-0.043,-4.6,0.6970792768,0.8241324921,0.6101,"St. Marys",4
"130","2018_January_ADFA_5","2018_January",0.3085,"ADFA","EPI",70.48143946,86.5396511184307,-0.043,-5,0.7048143946,0.8144409938,0.5258,"St. Marys",5
"131","2018_January_ADFA_6","2018_January",0.5254,"ADFA","EPI",60.72889904,81.4139666183507,-0.043,-4.3,0.6072889904,0.7459272845,0.8445,"St. Marys",6
"132","2018_January_ADFA_1","2018_January",0.2721,"ADFA","EPI",53.8136372,63.2111459927971,-0.043,-4.2,0.538136372,0.8513314599,0.4185,"St. Marys",1
"133","2018_January_ADFA_2","2018_January",0.2906,"ADFA","EPI",73.24040613,90.7645004873886,-0.043,-3.2,0.7324040613,0.8069278819,0.5034,"St. Marys",2
"134","2018_January_ADFA_3","2018_January",0.3343,"ADFA","EPI",57.70266228,73.0778982599389,-0.043,-4.8,0.5770266228,0.7896048416,0.5272,"St. Marys",3
"135","2018_January_ADFA_4","2018_January",0.3926,"ADFA","EPI",74.15615845,89.9808697762179,-0.043,-5.6,0.7415615845,0.8241324921,0.6837,"St. Marys",4
"136","2018_January_ADFA_4","2018_January",0.3926,"ADFA","EPI",74.15615845,89.9808697762179,-0.043,-5.6,0.7415615845,0.8241324921,0.6837,"St. Marys",4
"137","2018_January_ADFA_5","2018_January",0.3497,"ADFA","EPI",53.58879039,65.7982478754743,-0.043,-6.3,0.5358879039,0.8144409938,0.5371,"St. Marys",5
"138","2018_January_ADFA_6","2018_January",0.2993,"ADFA","EPI",49.08939014,65.8098867812631,-0.043,-8.3,0.4908939014,0.7459272845,0.4462,"St. Marys",6
"139","2018_January_ADFA_6","2018_January",0.2993,"ADFA","EPI",49.08939014,65.8098867812631,-0.043,-8.3,0.4908939014,0.7459272845,0.4462,"St. Marys",6
"140","2018_January_ADFA_6","2018_January",0.2993,"ADFA","EPI",49.08939014,65.8098867812631,-0.043,-8.3,0.4908939014,0.7459272845,0.4462,"St. Marys",6
"141","2018_January_ADFA_2","2018_January",0.2738,"ADFA","EPI",58.37442922,72.3415692150221,-0.043,-6.3,0.5837442922,0.8069278819,0.4336,"St. Marys",2
"142","2018_January_ADFA_3","2018_January",0.3092,"ADFA","EPI",50.23451399,63.6198150561087,-0.043,-6.2,0.5023451399,0.7896048416,0.4645,"St. Marys",3
"143","2018_January_ADFA_4","2018_January",0.3297,"ADFA","EPI",82.34758872,99.9203277499317,-0.043,-2.7,0.8234758872,0.8241324921,0.6012,"St. Marys",4
"144","2018_January_ADFA_4","2018_January",0.3297,"ADFA","EPI",82.34758872,99.9203277499317,-0.043,-2.7,0.8234758872,0.8241324921,0.6012,"St. Marys",4
"145","2018_January_ADFA_4","2018_January",0.3297,"ADFA","EPI",82.34758872,99.9203277499317,-0.043,-2.7,0.8234758872,0.8241324921,0.6012,"St. Marys",4
"146","2018_January_ADFA_5","2018_January",0.5573,"ADFA","EPI",73.17423291,89.8459599492719,-0.043,-3.9,0.7317423291,0.8144409938,0.9651,"St. Marys",5
"147","2018_January_ADFA_5","2018_January",0.5573,"ADFA","EPI",73.17423291,89.8459599492719,-0.043,-3.9,0.7317423291,0.8144409938,0.9651,"St. Marys",5
"148","2018_January_ADFA_5","2018_January",0.5573,"ADFA","EPI",73.17423291,89.8459599492719,-0.043,-3.9,0.7317423291,0.8144409938,0.9651,"St. Marys",5
"149","2018_January_ADFA_6","2018_January",0.2793,"ADFA","EPI",42.32008593,56.7348678743766,-0.043,-9.6,0.4232008593,0.7459272845,0.3975,"St. Marys",6
"150","2018_January_ADFA_1","2018_January",0.1779,"ADFA","EPI",49.11491992,57.6918888041201,-0.043,-5.4,0.4911491992,0.8513314599,0.2654,"St. Marys",1
"151","2018_January_ADFA_2","2018_January",0.5104,"ADFA","EPI",50.52899687,62.6189750080564,-0.043,-9,0.5052899687,0.8069278819,0.7683,"St. Marys",2
"152","2018_January_ADFA_3","2018_January",0.478,"ADFA","EPI",57.3281724,72.6036232045313,-0.043,-6.7,0.573281724,0.7896048416,0.752,"St. Marys",3
"153","2018_January_ADFA_4","2018_January",0.3229,"ADFA","EPI",60.97863116,73.9912959924906,-0.043,-6.4,0.6097863116,0.8241324921,0.5198,"St. Marys",4
"154","2018_January_ADFA_5","2018_January",0.3953,"ADFA","EPI",59.11965596,72.589243923198,-0.043,-6.2,0.5911965596,0.8144409938,0.629,"St. Marys",5
"155","2018_January_ADFA_6","2018_January",0.3767,"ADFA","EPI",66.58701712,89.2674373275322,-0.043,-5.2,0.6658701712,0.7459272845,0.6275,"St. Marys",6
"156","2018_January_ADFA_2","2018_January",0.4579,"ADFA","EPI",47.54313169,58.918687476822,-0.043,-9.9,0.4754313169,0.8069278819,0.6756,"St. Marys",2
"157","2018_January_ADFA_3","2018_January",0.3309,"ADFA","EPI",44.3403355,56.1550957693621,-0.043,-10,0.443403355,0.7896048416,0.4776,"St. Marys",3
"158","2018_January_ADFA_4","2018_January",0.4532,"ADFA","EPI",49.12280702,59.6054730166366,-0.043,-7.7,0.4912280702,0.8241324921,0.6758,"St. Marys",4
"159","2018_January_ADFA_5","2018_January",0.2835,"ADFA","EPI",50.2292769,61.6733161547301,-0.043,-8.1,0.502292769,0.8144409938,0.4259,"St. Marys",5
"160","2018_January_ADFA_6","2018_January",0.2915,"ADFA","EPI",73.28872877,98.2518407529843,-0.043,-3,0.7328872877,0.7459272845,0.5051,"St. Marys",6
