individual,year_month,dry_wt,spp,model,lfm_NAs_imputed,RWC,max_mpa_sample,mpa,gww_gdw,gww_gdw_saturated,fresh_wt,site,sample
2021_August_CECO_1.2,2021_August,7.6892,CECO,HP,85.70536829,60.54860714086017,1,-3.8,0.8570536829,1.4154804269999999,8.1011,1,1.2
2021_August_PIJE_1.2,2021_August,15.4717,PIJE,HP,95.61188498,64.65108372577834,1,-4.28,0.9561188498,1.4788906769999999,18.6703,1,1.2
2021_August_ARPA_1.2,2021_August,8.1618,ARPA,HP,77.6541006,49.96652413230194,1,-4.36,0.7765410060000001,1.554122524,8.9013,1,1.2
2021_August_CADE_1.2,2021_August,14.3038,CADE,HP,66.22551112,59.01633411769335,1,-5.04,0.6622551111999999,1.122155622,15.6999,1,1.2
2021_August_CECO_1.2,2021_August,7.806,CECO,HP,18.84364534,13.312543911283628,1,-10,0.18843645339999998,1.4154804269999999,7.9129,1,1.2
2021_August_PIJE_1.2,2021_August,16.5038,PIJE,HP,91.74852652,62.03874833136162,1,-3.63,0.9174852652,1.4788906769999999,20.4266,1,1.2
2021_August_ARPA_1.2,2021_August,13.2307,ARPA,HP,70.01837753,45.05331880126589,1,-5.46,0.7001837753,1.554122524,14.0308,1,1.2
2021_August_CADE_1.2,2021_August,14.9139,CADE,HP,64.41099094,57.399338984018385,1,-6.29,0.6441099094,1.122155622,16.6767,1,1.2
2021_August_PIJE_1.2,2021_August,20.949,PIJE,HP,100.6875443,68.08315575039629,1,-3.24,1.006875443,1.4788906769999999,29.765,1,1.2
2021_August_CADE_1.2,2021_August,15.9776,CADE,HP,68.43146565,60.982152839047146,1,-5.99,0.6843146565000001,1.122155622,18.5717,1,1.2
2021_August_ABCO_1.2,2021_August,14.3223,ABCO,HP,163.6499347,100,1,-0.82,1.636499347,1.636499347,17.8303,1,1.2
2021_August_CECO_1.2,2021_August,6.9725,CECO,HP,107.37891020000001,75.8603991632588,1,-1.16,1.073789102,1.4154804269999999,7.8238,1,1.2
2021_August_PIJE_1.2,2021_August,13.8985,PIJE,HP,147.8890677,100,1,-0.53,1.4788906769999999,1.4788906769999999,16.2875,1,1.2
2021_August_QUKE_1.2,2021_August,8.3653,QUKE,HP,115.5910812,90.03535942678158,1,-0.72,1.1559108120000001,1.2838409480000001,9.7391,1,1.2
2021_August_ABCO_1.2,2021_August,7.955,ABCO,HP,160.0230267,97.78374002614252,1,-1.84,1.600230267,1.636499347,9.2059,1,1.2
2021_August_CECO_1.2,2021_August,8.4825,CECO,HP,80.03330196,56.54144023003154,1,-4.52,0.8003330196,1.4154804269999999,9.588,1,1.2
2021_August_PIJE_1.2,2021_August,14.2865,PIJE,HP,110.628749,74.80522442971625,1,-1.04,1.10628749,1.4788906769999999,16.8501,1,1.2
2021_August_QUKE_1.2,2021_August,8.1694,QUKE,HP,100.4155125,78.21491646331256,1,-2.76,1.004155125,1.2838409480000001,9.1119,1,1.2
2021_August_ABCO_1.2,2021_August,9.0567,ABCO,HP,133.4612433,81.55288515370242,1,-2.56,1.334612433,1.636499347,11.4913,1,1.2
2021_August_ARPA_1.2,2021_August,13.4695,ARPA,HP,129.3972179,83.2606283621432,1,-1.06,1.2939721789999998,1.554122524,15.1439,1,1.2
2021_August_CECO_1.2,2021_August,7.9519,CECO,HP,114.8043185,81.10625644136866,1,-2.32,1.148043185,1.4154804269999999,8.8026,1,1.2
2021_August_PIJE_1.2,2021_August,17.1139,PIJE,HP,97.97739322,66.25059900894892,1,-2.03,0.9797739322,1.4788906769999999,22.0113,1,1.2
2021_August_QUKE_1.2,2021_August,8.2,QUKE,HP,34.15248263,26.60180194688727,1,-10,0.34152482630000003,1.2838409480000001,8.5391,1,1.2
2021_August_ABCO_1.2,2021_August,13.6371,ABCO,HP,159.7536061,97.6191077575786,1,-0.48,1.5975360610000002,1.636499347,16.2176,1,1.2
2021_August_ARPA_1.2,2021_August,7.8268,ARPA,HP,155.4122524,100,1,-0.58,1.554122524,1.554122524,8.839,1,1.2
2021_August_CADE_1.2,2021_August,8.6335,CADE,HP,95.24142268,84.87363144004281,1,-2.97,0.9524142268,1.122155622,9.9965,1,1.2
2021_August_CECO_1.2,2021_August,7.0142,CECO,HP,75.29178338,53.19168103198364,1,-5.3,0.7529178338,1.4154804269999999,7.6593,1,1.2
2021_August_PIJE_1.2,2021_August,17.8305,PIJE,HP,105.9611862,71.6491001315576,1,-1.86,1.059611862,1.4788906769999999,23.8474,1,1.2
2021_August_QUKE_1.2,2021_August,8.2879,QUKE,HP,35.89832267,27.961658900133475,1,-2.59,0.3589832267,1.2838409480000001,8.7031,1,1.2
