full_name,lfm,mpa
Quercus kelloggii,87.78867447,-4.76
Quercus kelloggii,19.11465893,-10
Quercus kelloggii,122.4592642,-0.49
Quercus kelloggii,206.0778553,-0.539
Quercus kelloggii,91.01547754,-3.71
Quercus kelloggii,129.4316501,-0.46
Quercus kelloggii,127.6040767,-0.681
Quercus kelloggii,107.0498301,-0.867
Quercus kelloggii,96.25794732,-1.95
Quercus kelloggii,88.37644656,-3.872
Quercus kelloggii,25.48666627,-9.5
Quercus kelloggii,36.16581571,-6.8
Quercus kelloggii,18.23017408,-10
Quercus kelloggii,97.66065777,-2.961
Quercus kelloggii,130.5230557,-0.185
Quercus kelloggii,128.358209,-0.472
Quercus kelloggii,95.62085854,-3.19
Quercus kelloggii,141.5974441,-0.502
Quercus kelloggii,88.32358982,-4.84
Quercus kelloggii,85.5081757,-3.898
Quercus kelloggii,104.3771044,-1.85
Quercus kelloggii,109.5044128,-1.174
Quercus kelloggii,25.48666627,-9.5
Quercus kelloggii,34.52628659,-7.82
Quercus kelloggii,107.7243468,-2.84
Quercus kelloggii,136.3902296,-0.294
Quercus kelloggii,120.0407106,-1.63
Quercus kelloggii,103.0118322,-3.57
Quercus kelloggii,127.7997365,-0.107
Quercus kelloggii,123.7153979,-1
Quercus kelloggii,111.039538,-2.784
Quercus kelloggii,101.1164274,-3.82
Quercus kelloggii,128.0343716,-1.321
Quercus kelloggii,96.78916913,-3.33
Quercus kelloggii,95.38428043,-4.049
Quercus kelloggii,71.15,-5.876
Quercus kelloggii,98.84577603,-4.232
Quercus kelloggii,74.37802908,-5.25
Quercus kelloggii,61.37266024,-5.594
Quercus kelloggii,17.74491682,-10
Quercus kelloggii,135.8889623,-0.269
Quercus kelloggii,134.5625896,-0.598
Quercus kelloggii,94.63002114,-3.75
Quercus kelloggii,129.3891909,-1.09
Quercus kelloggii,115.1429307,-1.279
Quercus kelloggii,98.34043849,-4.182
Quercus kelloggii,102.9142664,-3.54
Quercus kelloggii,100.1555613,-3.971
Quercus kelloggii,27.10455126,-9.36
Quercus kelloggii,19.12739965,-8.5
Quercus kelloggii,143.9600207,-0.13
Quercus kelloggii,127.7032845,-0.735
Quercus kelloggii,101.4405122,-2.06
Quercus kelloggii,133.6372847,-0.49
Quercus kelloggii,111.4190847,-1.136
Quercus kelloggii,110.0328347,-1.542
Quercus kelloggii,101.8127941,-3.17
Quercus kelloggii,117.4547983,-0.909
Quercus kelloggii,89.01176485,-4.003
Quercus kelloggii,24.78455329,-8.4
Quercus kelloggii,138.259371,-4.285
Quercus kelloggii,87.78867447,-4.76
Quercus kelloggii,30.27790229,-9.7
Quercus kelloggii,129.9558115,-0.46
Quercus kelloggii,124.5415012,-0.14
Quercus kelloggii,87.31270358,-1.95
Quercus kelloggii,126.1475989,-0.19
Quercus kelloggii,96.90069576,-2.557
Quercus kelloggii,116.5885206,-1.058
Quercus kelloggii,92.45240761,-2.29
Quercus kelloggii,100.5584364,-1.6
Quercus kelloggii,88.2837166,-4.066
Quercus kelloggii,91.68197324,-3.528
Quercus kelloggii,88.49882982,-3.734
Quercus kelloggii,78.90052356,-4.96
Quercus kelloggii,29.55641273,-10
Quercus kelloggii,29.55641273,-10
Quercus kelloggii,139.4992335,-0.19
Quercus kelloggii,118.4008915,-1.165
Quercus kelloggii,88.51811381,-4.1
Quercus kelloggii,114.9864499,-0.495
Quercus kelloggii,121.5739855,-1.377
Quercus kelloggii,89.51993142,-3.22
Quercus kelloggii,92.07042254,-3.28
Quercus kelloggii,85.47387068,-4.355
Quercus kelloggii,80.20584796,-4.765
Quercus kelloggii,84.04389506,-5.082
Quercus kelloggii,23.74759152,-7.8
Quercus kelloggii,21.90415942,-10
Quercus kelloggii,143.5522467,-0.98
Quercus kelloggii,138.6967195,-0.198
Quercus kelloggii,88.24587706,-2.84
Quercus kelloggii,100.2399232,-2.973
Quercus kelloggii,101.8455606,-1.154
Quercus kelloggii,94.53897261,-3.39
Quercus kelloggii,97.5458632,-2.935
Quercus kelloggii,86.53871207,-4.217
Quercus kelloggii,101.6229375,-3.691
Quercus kelloggii,90.83710407,-4.253
