spp,n,sd,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,tlp
ABCO,750,0.5090607566637178,51,ABCO_new_1_1.1,new,1.1,1,191.9749403,2021-06-16,-0.9,-0.82,NA,-2.22,-2.12,NA,-0.86,-2.17,tree,167,CZO,6,spring,302.6809576,63.42484899684353,36.57515100315647,-2.17,3.026809576,-2.2704244956133333
ABCO,750,0.5090607566637178,23,ABCO_old_2_2.2,old,2.2,2,143.1966406,2021-07-09,-0.64,-0.66,NA,-1.71,-1.8,NA,-0.65,-1.755,tree,190,CZO,7,spring,212.1340251,67.50291026274408,32.49708973725592,-1.755,2.121340251,-2.2704244956133333
ABCO,750,0.5090607566637178,29,ABCO_old_2_2.4,old,2.4,2,103.0953495,2021-06-15,-0.6,-0.54,NA,-1.66,-1.68,NA,-0.57,-1.67,tree,166,CZO,6,spring,NA,NA,NA,-1.67,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,15,ABCO_new_1_1.5,new,1.5,1,133.5897057,2021-08-19,-1.61,-1.68,NA,-2.21,-2.21,NA,-1.645,-2.21,tree,231,CZO,8,fall,133.5897057,100,0,-2.21,1.335897057,-2.2704244956133333
ABCO,750,0.5090607566637178,50,ABCO_old_1_1.5,old,1.5,1,120.2145275,2021-08-19,-1.61,-1.68,NA,-2.21,-2.21,NA,-1.645,-2.21,tree,231,CZO,8,fall,205.0550563,58.625488036795126,41.374511963204874,-2.21,2.050550563,-2.2704244956133333
ABCO,750,0.5090607566637178,23,ABCO_old_2_2.2,old,2.2,2,212.1340251,2021-10-17,-1.12,-1.18,NA,-1.97,-1.94,NA,-1.15,-1.955,tree,290,CZO,10,fall,212.1340251,100,0,-1.955,2.121340251,-2.2704244956133333
ABCO,750,0.5090607566637178,34,ABCO_old_2_2.3,old,2.3,2,117.1128028,2021-04-24,-0.78,-0.76,NA,-1.59,-1.55,NA,-0.77,-1.57,tree,114,CZO,4,spring,212.2914377,55.16605100460913,44.83394899539087,-1.57,2.122914377,-2.2704244956133333
ABCO,750,0.5090607566637178,32,ABCO_old_2_2.5,old,2.5,2,96.49160642,2021-05-14,-0.85,-0.88,NA,-1.95,-2.02,NA,-0.865,-1.985,tree,134,CZO,5,spring,201.8121264,47.81259091871894,52.18740908128106,-1.985,2.018121264,-2.2704244956133333
ABCO,750,0.5090607566637178,31,ABCO_old_2_2.5,old,2.5,2,101.9135875,2021-06-15,-0.8,-0.75,NA,-1.78,-1.62,-1.64,-0.775,-1.68,tree,166,CZO,6,spring,201.8121264,50.49923873157307,49.50076126842693,-1.68,2.018121264,-2.2704244956133333
ABCO,750,0.5090607566637178,17,ABCO_old_1_1.6,old,1.6,1,125.7248327,2021-07-30,-1.73,-1.65,NA,-2.14,-2.18,NA,-1.69,-2.16,tree,211,CZO,7,spring,204.9281856,61.35067869356082,38.64932130643918,-2.16,2.049281856,-2.2704244956133333
ABCO,750,0.5090607566637178,20,ABCO_old_2_2.1,old,2.1,2,123.030894,2021-05-14,-0.95,-0.81,-0.85,-2.25,-2.16,-2.18,-0.87,-2.196666667,tree,134,CZO,5,spring,215.8320152,57.00307893895808,42.99692106104192,-2.196666667,2.158320152,-2.2704244956133333
ABCO,750,0.5090607566637178,55,ABCO_new_1_1.2,new,1.2,1,194.0756397,2021-09-16,-1.64,-1.65,NA,-1.81,-2.2,-1.87,-1.645,-1.96,tree,259,CZO,9,fall,NA,NA,NA,-1.96,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,107,ABCO_old_1_1.2,old,1.2,1,125.3250867,2021-09-16,-1.64,-1.65,NA,-1.81,-2.2,-1.87,-1.645,-1.96,tree,259,CZO,9,fall,NA,NA,NA,-1.96,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,17,ABCO_old_1_1.6,old,1.6,1,137.8218672,2021-07-08,-1.17,-1.28,-1.19,-2.06,-2.34,-2.18,-1.213333333,-2.193333333,tree,189,CZO,7,spring,204.9281856,67.25373905813765,32.746260941862346,-2.193333333,2.049281856,-2.2704244956133333
ABCO,750,0.5090607566637178,1,ABCO_old_1_1.1,old,1.1,1,113.5494922,2021-06-16,-0.9,-0.82,NA,-2.22,-2.12,NA,-0.86,-2.17,tree,167,CZO,6,spring,203.1782212,55.88664549249436,44.11335450750564,-2.17,2.031782212,-2.2704244956133333
ABCO,750,0.5090607566637178,16,ABCO_old_1_1.6,old,1.6,1,105.1617966,2021-06-16,-0.79,-0.87,NA,-2.18,-2.32,-2.17,-0.83,-2.223333333,tree,167,CZO,6,spring,204.9281856,51.31641423169854,48.68358576830146,-2.223333333,2.049281856,-2.2704244956133333
ABCO,750,0.5090607566637178,50,ABCO_new_1_1.5,new,1.5,1,-23.95185097,2021-07-08,-1.04,-0.97,NA,-2.03,-1.96,NA,-1.005,-1.995,tree,189,CZO,7,spring,133.5897057,-17.929413680862684,117.92941368086268,-1.995,1.335897057,-2.2704244956133333
ABCO,750,0.5090607566637178,31,ABCO_new_2_2.5,new,2.5,2,126.2829053,2021-04-24,-1,-1.19,NA,-1.51,-1.45,NA,-1.095,-1.48,tree,114,CZO,4,spring,242.5369686,52.067487290265404,47.932512709734596,-1.48,2.425369686,-2.2704244956133333
ABCO,750,0.5090607566637178,32,ABCO_old_2_2.5,old,2.5,2,112.9226181,2021-04-24,-1,-1.19,NA,-1.51,-1.45,NA,-1.095,-1.48,tree,114,CZO,4,spring,201.8121264,55.95432747989716,44.04567252010284,-1.48,2.018121264,-2.2704244956133333
ABCO,750,0.5090607566637178,36,ABCO_new_2_2.1,new,2.1,2,159.1595407,2021-08-20,-1.48,-1.41,NA,-2,-2.08,NA,-1.445,-2.04,tree,232,CZO,8,fall,488.3069661,32.59415731280103,67.40584268719897,-2.04,4.883069661,-2.2704244956133333
ABCO,750,0.5090607566637178,20,ABCO_old_2_2.1,old,2.1,2,129.5437998,2021-08-20,-1.48,-1.41,NA,-2,-2.08,NA,-1.445,-2.04,tree,232,CZO,8,fall,215.8320152,60.02065990069113,39.97934009930887,-2.04,2.158320152,-2.2704244956133333
ABCO,750,0.5090607566637178,5,ABCO_old_1_1.2,old,1.2,1,111.2280881,2021-05-15,-0.66,-0.62,NA,-1.74,-1.71,NA,-0.64,-1.725,tree,135,CZO,5,spring,NA,NA,NA,-1.725,NA,-2.2704244956133333
ABCO,750,0.5090607566637178,22,ABCO_old_2_2.2,old,2.2,2,139.8065007,2021-07-31,-0.83,-0.88,NA,-1.71,-1.88,-1.79,-0.855,-1.793333333,tree,212,CZO,7,spring,212.1340251,65.90479798518658,34.095202014813424,-1.793333333,2.121340251,-2.2704244956133333
ABCO,750,0.5090607566637178,62,ABCO_new_2_2.3,new,2.3,2,262.4162184,2021-10-17,-1.34,-1.21,NA,-1.91,-1.95,NA,-1.275,-1.93,tree,290,CZO,10,fall,302.201662,86.8348031785477,13.165196821452298,-1.93,3.02201662,-2.2704244956133333
ABCO,750,0.5090607566637178,44,ABCO_new_2_2.2,new,2.2,2,158.3967756,2021-08-20,-1.01,-1.07,NA,-1.95,-2.07,-2.03,-1.04,-2.016666667,tree,232,CZO,8,fall,316.0183414,50.12265265942568,49.87734734057432,-2.016666667,3.160183414,-2.2704244956133333
ABCO,750,0.5090607566637178,23,ABCO_old_2_2.2,old,2.2,2,134.8879344,2021-08-20,-1.01,-1.07,NA,-1.95,-2.07,-2.03,-1.04,-2.016666667,tree,232,CZO,8,fall,212.1340251,63.586185354477585,36.413814645522415,-2.016666667,2.121340251,-2.2704244956133333
