individual,year.month,dry.wt,spp,model,lfm.NAs.imputed,RWC,max.mpa.sample,mpa,gww.gdw,gww.gdw.saturated,fresh.wt,site,sample
2020_October_ARPA_1.5,2020_October,7.4987,ARPA,EPI,125.0844912,86.98088368731655,-0.084,-0.084,1.250844912,1.438068756,7.8318,1,1.5
2020_October_ARPA_1.5,2020_October,7.5855,ARPA,EPI,119.9227373,83.39151852069025,-0.084,-0.998,1.199227373,1.438068756,8.0201,1,1.5
2020_October_ARPA_1.6,2020_October,12.674,ARPA,HP,91.95969125,74.25840991589993,-0.186,-3.801,0.9195969125000001,1.238374096,13.1029,1,1.6
2020_October_ARPA_1.6,2020_October,7.5346,ARPA,HP,106.4476886,85.957618900323,-0.186,-0.781,1.064476886,1.238374096,7.8846,1,1.6
2020_October_ARPA_1.6,2020_October,7.4286,ARPA,HP,123.8374096,100,-0.186,-2.137,1.238374096,1.238374096,7.7881,1,1.6
2020_October_ARPA_1.6,2020_October,7.4999,ARPA,HP,94.97953615,76.6969661726516,-0.186,-3.484,0.9497953615,1.238374096,7.848,1,1.6
2020_October_ARPA_1.6,2020_October,7.4866,ARPA,HP,107.4027073,86.72880646237292,-0.186,-1.542,1.074027073,1.238374096,7.7405,1,1.6
2020_October_ARPA_1.6,2020_October,7.4477,ARPA,HP,114.1684665,92.19222759000604,-0.186,-0.186,1.1416846649999999,1.238374096,7.712,1,1.6
2020_October_ARPA_1.6,2020_October,7.5856,ARPA,EPI,75.99766968,61.36891099828045,-0.186,-5.01,0.7599766968,1.238374096,7.8465,1,1.6
2020_October_ARPA_1.6,2020_October,7.5856,ARPA,HP,75.99766968,61.36891099828045,-0.186,-5.01,0.7599766968,1.238374096,7.8465,1,1.6
2020_October_ARPA_1.6,2020_October,12.674,ARPA,EPI,91.95969125,74.25840991589993,-0.186,-3.801,0.9195969125000001,1.238374096,13.1029,1,1.6
2020_October_ARPA_1.6,2020_October,7.6917,ARPA,EPI,62.89602381,50.78919529498944,-0.186,-6.505,0.6289602381,1.238374096,7.9875,1,1.6
2020_October_ARPA_1.6,2020_October,7.4866,ARPA,EPI,107.4027073,86.72880646237292,-0.186,-1.542,1.074027073,1.238374096,7.7405,1,1.6
2020_October_ARPA_1.6,2020_October,7.4999,ARPA,EPI,94.97953615,76.6969661726516,-0.186,-3.484,0.9497953615,1.238374096,7.848,1,1.6
2020_October_ARPA_1.6,2020_October,7.4477,ARPA,EPI,114.1684665,92.19222759000604,-0.186,-0.186,1.1416846649999999,1.238374096,7.712,1,1.6
2020_October_ARPA_1.6,2020_October,7.4286,ARPA,EPI,123.8374096,100,-0.186,-2.137,1.238374096,1.238374096,7.7881,1,1.6
2020_October_ARPA_1.6,2020_October,7.5346,ARPA,EPI,106.4476886,85.957618900323,-0.186,-0.781,1.064476886,1.238374096,7.8846,1,1.6
2020_October_ARPA_2.1,2020_October,7.7373,ARPA,HP,70.70874862,59.668064862778536,-0.13,-5.318,0.7070874862,1.185035056568572,8.1204,2,2.1
2020_October_ARPA_2.1,2020_October,7.6699,ARPA,EPI,84.96691481,71.6999166725355,-0.13,-1.038,0.8496691481,1.185035056568572,8.0808,2,2.1
2020_October_ARPA_2.1,2020_October,7.854,ARPA,HP,118.50350565685721,100,-0.13,-0.13,1.185035056568572,1.185035056568572,8.0085,2,2.1
2020_October_ARPA_2.1,2020_October,7.6266,ARPA,EPI,80.58469092,68.00194683973635,-0.13,-5.948,0.8058469092,1.185035056568572,7.9877,2,2.1
2020_October_ARPA_2.1,2020_October,12.3325,ARPA,EPI,84.75991649,71.52523971352687,-0.13,-2.556,0.8475991649,1.185035056568572,12.5355,2,2.1
2020_October_ARPA_2.1,2020_October,7.7373,ARPA,EPI,70.70874862,59.668064862778536,-0.13,-5.318,0.7070874862,1.185035056568572,8.1204,2,2.1
2020_October_ARPA_2.1,2020_October,7.6699,ARPA,HP,84.96691481,71.6999166725355,-0.13,-1.038,0.8496691481,1.185035056568572,8.0808,2,2.1
2020_October_ARPA_2.1,2020_October,7.6266,ARPA,HP,80.58469092,68.00194683973635,-0.13,-5.948,0.8058469092,1.185035056568572,7.9877,2,2.1
2020_October_ARPA_2.1,2020_October,7.5756,ARPA,HP,104.28811683037395,88.00424616327737,-0.13,-1.954,1.0428811683037396,1.185035056568572,8.5319,2,2.1
2020_October_ARPA_2.1,2020_October,12.3325,ARPA,HP,84.75991649,71.52523971352687,-0.13,-2.556,0.8475991649,1.185035056568572,12.5355,2,2.1
2020_October_ARPA_2.1,2020_October,7.854,ARPA,EPI,118.50350565685721,100,-0.13,-0.13,1.185035056568572,1.185035056568572,8.0085,2,2.1
2020_October_ARPA_2.1,2020_October,7.5756,ARPA,EPI,104.28811683037395,88.00424616327737,-0.13,-1.954,1.0428811683037396,1.185035056568572,8.5319,2,2.1
2020_October_ARPA_2.2,2020_October,7.4964,ARPA,HP,110.07091206570871,90.52986498930031,-0.098,-1.212,1.1007091206570871,1.215851941,7.8702,2,2.2
2020_October_ARPA_2.2,2020_October,7.53,ARPA,HP,107.4138792,88.34453898363273,-0.098,-0.098,1.074138792,1.215851941,7.9603,2,2.2
2020_October_ARPA_2.2,2020_October,7.621,ARPA,HP,86.23481781,70.92542677447598,-0.098,-2.208,0.8623481781,1.215851941,8.0044,2,2.2
2020_October_ARPA_2.2,2020_October,12.7854,ARPA,HP,78.97819063,64.95707903796487,-0.098,-4.78,0.7897819063,1.215851941,13.1765,2,2.2
2020_October_ARPA_2.2,2020_October,12.6862,ARPA,EPI,79.67062157,65.52658171888382,-0.098,-4.78,0.7967062157,1.215851941,13.1361,2,2.2
2020_October_ARPA_2.2,2020_October,12.6862,ARPA,HP,79.67062157,65.52658171888382,-0.098,-4.78,0.7967062157,1.215851941,13.1361,2,2.2
2020_October_ARPA_2.2,2020_October,7.6377,ARPA,EPI,121.5851941,100,-0.098,-3.298,1.215851941,1.215851941,8.2421,2,2.2
2020_October_ARPA_2.2,2020_October,7.621,ARPA,EPI,86.23481781,70.92542677447598,-0.098,-2.208,0.8623481781,1.215851941,8.0044,2,2.2
2020_October_ARPA_2.2,2020_October,7.53,ARPA,EPI,107.4138792,88.34453898363273,-0.098,-0.098,1.074138792,1.215851941,7.9603,2,2.2
2020_October_ARPA_2.2,2020_October,7.4964,ARPA,EPI,110.07091206570871,90.52986498930031,-0.098,-1.212,1.1007091206570871,1.215851941,7.8702,2,2.2
