spp,n.x,mean_lfm_fall_spp.x,sd_lfm_fall_spp.x,mean_tlp_spp,sd_spp,n.y,mean_lfm_fall_spp.y,sd_lfm_fall_spp.y,bottle_number,unique_id,age,pod,site,lfm,date,predawn1,predawn2,midday1,midday2,predawn,midday,type,doy,location,month,timing,wettest_lfm,rwc,rwd,water_potential,swc,predawn3,midday3
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,16,ABCO_old_1_1.6,old,1.6,1,105.1617966,2021-06-16,-0.79,-0.87,-2.18,-2.32,-0.83,-2.223333333,tree,167,CZO,6,spring,204.9281856,51.31641423169854,48.68358576830146,-2.223333333,2.049281856,NA,-2.17
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,16,ABCO_old_1_1.6,old,1.6,1,111.0665112,2021-05-15,-0.77,-0.73,-1.5,-1.53,-0.75,-1.515,tree,135,CZO,5,spring,204.9281856,54.197772197520486,45.802227802479514,-1.515,2.049281856,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,17,ABCO_old_1_1.6,old,1.6,1,118.6216845,2021-09-16,-2.11,-1.97,-2.25,-2.14,-2.03,-2.195,tree,259,CZO,9,fall,204.9281856,57.88451410560871,42.11548589439129,-2.195,2.049281856,-2.01,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,17,ABCO_old_1_1.6,old,1.6,1,125.7093409,2021-08-19,-1.77,-1.86,-2.1,-2.13,-1.815,-2.115,tree,231,CZO,8,fall,204.9281856,61.343119069707896,38.656880930292104,-2.115,2.049281856,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,17,ABCO_old_1_1.6,old,1.6,1,125.7248327,2021-07-30,-1.73,-1.65,-2.14,-2.18,-1.69,-2.16,tree,211,CZO,7,spring,204.9281856,61.35067869356082,38.64932130643918,-2.16,2.049281856,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,17,ABCO_old_1_1.6,old,1.6,1,137.8218672,2021-07-08,-1.17,-1.28,-2.06,-2.34,-1.213333333,-2.193333333,tree,189,CZO,7,spring,204.9281856,67.25373905813765,32.746260941862346,-2.193333333,2.049281856,-1.19,-2.18
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,17,ABCO_Old_1_6,Old,6,1,135.786488,2020-10-19,-2.277,-2.004,-2.121,-2.348,-2.1405,-2.2345,tree,292,SEKI,10,fall,135.786488,100,0,-2.2345,1.35786488,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,19,ABCO_Old_2_1,Old,1,2,135.5181129,2020-07-15,-0.61,NA,-1.2,NA,-0.61,-1.2,tree,197,CZO,7,spring,152.1879362,89.0465540723983,10.953445927601706,-1.2,1.521879362,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,1N,ABCO_New_1_4,New,4,1,NA,2020-07-15,-0.423,NA,-1.8,-1.1,-0.423,-1.45,tree,197,CZO,7,spring,235.9408212,100,0,-1.45,2.359408212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,2,ABCO_Old_1_1,Old,1,1,134.831468,2020-10-19,-1.677,-2.1,-2.281,-2.289,-1.8885,-2.285,tree,292,SEKI,10,fall,218.7980735,61.62369980830751,38.37630019169249,-2.285,2.187980735,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,2,ABCO_old_1_1.1,old,1.1,1,109.6013333,2021-05-15,-0.59,-0.6,-1.67,-1.46,-0.595,-1.56,tree,135,CZO,5,spring,203.1782212,53.94344563737129,46.05655436262871,-1.56,2.031782212,NA,-1.55
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,2,ABCO_old_1_1.1,old,1.1,1,117.7724041,2021-04-24,-0.79,-0.76,-0.77,-0.76,-0.775,-0.765,tree,114,CZO,4,spring,203.1782212,57.96507293174393,42.03492706825607,-0.765,2.031782212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,2,ABCO_old_1_1.1,old,1.1,1,134.586799,2021-07-08,-0.83,-0.84,-1.73,-1.72,-0.835,-1.725,tree,189,CZO,7,spring,203.1782212,66.24076055253899,33.75923944746101,-1.725,2.031782212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,2,ABCO_old_1_1.1,old,1.1,1,140.1354188,2021-07-30,-0.91,-0.89,-2.02,-2.08,-0.9,-2.05,tree,211,CZO,7,spring,203.1782212,68.97167322970932,31.028326770290676,-2.05,2.031782212,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,2,ABCO_Old_1_1.1,Old,1.1,1,117.7724041,2021-04-24,-0.79,-0.76,-0.77,-0.76,-0.775,-0.7675,tree,114,CZO,4,spring,117.7724041,100,0,-0.7675,1.177724041,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_Old_2_1,Old,1,2,131.3633938,2020-10-19,-1.586,-1.592,-2.035,-1.961,-1.589,-1.998,tree,292,SEKI,10,fall,152.1879362,86.31656166712642,13.683438332873578,-1.998,1.521879362,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_old_2_2.1,old,2.1,2,123.030894,2021-05-14,-0.95,-0.81,-2.25,-2.16,-0.87,-2.196666667,tree,134,CZO,5,spring,215.8320152,57.00307893895808,42.99692106104192,-2.196666667,2.158320152,-0.85,-2.18
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_old_2_2.1,old,2.1,2,127.2862987,2021-09-17,-1.69,-1.62,-1.85,-1.92,-1.655,-1.885,tree,260,CZO,9,fall,215.8320152,58.97470705726886,41.02529294273114,-1.885,2.158320152,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_old_2_2.1,old,2.1,2,129.5437998,2021-08-20,-1.48,-1.41,-2,-2.08,-1.445,-2.04,tree,232,CZO,8,fall,215.8320152,60.02065990069113,39.97934009930887,-2.04,2.158320152,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_old_2_2.1,old,2.1,2,130.8678575,2021-07-31,-1.07,-1.06,-1.85,-1.8,-1.065,-1.825,tree,212,CZO,7,spring,215.8320152,60.63412667427108,39.36587332572892,-1.825,2.158320152,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_old_2_2.1,old,2.1,2,135.839217,2021-07-09,-0.83,-0.86,-1.78,-1.84,-0.845,-1.81,tree,190,CZO,7,spring,215.8320152,62.93747332809966,37.06252667190034,-1.81,2.158320152,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,20,ABCO_old_2_2.1,old,2.1,2,215.8320152,2021-10-17,-1.32,-1.4,-1.96,-1.81,-1.36,-1.885,tree,290,CZO,10,fall,215.8320152,100,0,-1.885,2.158320152,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,21,ABCO_New_2_3,New,3,2,NA,2020-07-15,-0.55,-0.509,-1.7,NA,-0.5295,-1.7,tree,197,CZO,7,spring,316.0678298,100,0,-1.7,3.160678298,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,21,ABCO_Old_1_3,Old,3,1,135.514106,2020-08-04,-0.83,-0.72,-1.91,-1.7,-0.775,-1.805,tree,216,CZO,8,fall,144.5278098,93.7633429770552,6.236657022944797,-1.805,1.445278098,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,21,ABCO_Old_1_3,Old,3,1,144.5278098,2020-07-27,-0.7,-0.7,-1.78,NA,-0.7,-1.78,tree,209,CZO,7,spring,144.5278098,100,0,-1.78,1.445278098,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,22,ABCO_New_2_2,New,2,2,159.9327393,2020-10-19,-1.892,-1.911,-2.377,-2.411,-1.9015,-2.394,tree,292,SEKI,10,fall,252.8152897,63.260706854313334,36.739293145686666,-2.394,2.528152897,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,22,ABCO_Old_1_2,Old,2,1,145.8300134,2020-08-26,-0.869,-0.741,-1.891,-2.892,-0.805,-2.3915,tree,238,CZO,8,fall,145.8300134,100,0,-2.3915,1.4583001340000001,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,22,ABCO_Old_2_2,Old,2,2,142.8377329,2020-08-04,-0.65,-0.59,-1.84,-1.85,-0.62,-1.845,tree,216,CZO,8,fall,153.0739482,93.31289522458401,6.687104775415989,-1.845,1.530739482,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,22,ABCO_Old_2_2,Old,2,2,146.9892993,2020-07-15,-0.55,-0.509,-1.7,NA,-0.5295,-1.7,tree,197,CZO,7,spring,153.0739482,96.02502648455238,3.9749735154476156,-1.7,1.530739482,NA,NA
ABCO,295,150.26899825463954,19.18157018480266,-2.2704244956133333,0.5094009242637658,295,150.26899825463954,19.18157018480266,22,ABCO_old_2_2.2,old,2.2,2,125.9093413,2021-04-24,-0.68,-0.72,-0.78,-0.85,-0.7,-0.815,tree,114,CZO,4,spring,212.1340251,59.35367569660092,40.64632430339908,-0.815,2.121340251,NA,NA
