sample,round,spp,model,mpa,lfm,lfm.notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start.temp,temp.max,ignition.temp,prop.new,sample.wt,glow,year,month ,dry.wt,fresh.wt,water.wt,site
3,15,ADFA,EPI,-5.5,31.60245673,0,15,1,23,24,11,131,97,1,277,343.9,0,100,0.521,1,2016,December,0.8955,1.1785,0.283,St. Marys
4,15,ADFA,EPI,-8.85,46.44549763,0,4,12,33,45,2,125,90,1,276.9,309.4,0,100,0.523,1,2016,December,0.633,0.927,0.294,St. Marys
5,15,ADFA,EPI,-7.65,43.86206897,0,7,7,31,38,6,125,88,1,279.4,340.5,0,100,0.486,1,2016,December,0.725,1.043,0.318,St. Marys
6,15,ADFA,EPI,-9.3,50.39787798,0,13,11,13,24,6,81,62,1,279.7,305.9,0,100,0.509,1,2016,December,0.754,1.134,0.38,St. Marys
1,16,ADFA,EPI,-7.2,48.96640827,0,27,5,11,16,6,71,54,1,274.1,310.6,0,100,0.481,1,2016,December,0.774,1.153,0.379,St. Marys
2,16,ADFA,EPI,-7.4,44.55445545,0,15,14,16,30,5,86,65,1,274.1,293.1,0,100,0.523,1,2016,December,0.303,0.438,0.135,St. Marys
3,16,ADFA,EPI,-7.1,37.06521739,0,18,7,9,16,5,88,74,1,270.7,330.5,0,100,0.495,1,2016,December,0.92,1.261,0.341,St. Marys
4,16,ADFA,EPI,-7.72,59.2445328,0,7,16,22,38,6,112,84,1,277.7,318,0,100,0.509,1,2016,December,0.503,0.801,0.298,St. Marys
5,16,ADFA,EPI,-8.91,51.20934112,0,12,2,29,31,6,93,58,1,276,300.6,0,100,0.496,1,2016,December,0.5995,0.9065,0.307,St. Marys
6,16,ADFA,EPI,-8.2,61.34715026,0,11,23,15,38,5,109,89,1,276.9,297.2,0,100,0.5,1,2016,December,0.4825,0.7785,0.296,St. Marys
1,17,ADFA,EPI,-8.2,21.52974504,0,17,5,6,11,13,110,91,1,278.9,320.5,0,100,0.48,1,2016,December,0.353,0.429,0.076,St. Marys
2,17,ADFA,EPI,-8.4,112.5,0,17,12,4,16,6,73,63,1,278.2,337.5,0,100,0.484,1,2016,December,0.08,0.17,0.09,St. Marys
3,17,ADFA,EPI,-8.5,46.16831218,0,16,19,7,26,7,75,61,1,272.6,368.7,0,100,0.518,1,2016,December,1.0635,1.5545,0.491,St. Marys
1,18,ADFA,EPI,-9.1,39.01192504,0,20,1,13,14,11,94,70,1,279.9,332.1,0,100,0.523,1,2016,December,0.587,0.816,0.229,St. Marys
2,18,ADFA,EPI,-9.5,49.35805991,0,14,6,19,25,3,104,82,1,279.3,297.5,0,100,0.538,1,2016,December,0.3505,0.5235,0.173,St. Marys
3,18,ADFA,EPI,-9.5,312.5,"Double checked, correct weights",8,4,29,33,2,121,90,1,274.7,310,0,100,0.51,1,2016,December,0.032,0.132,0.1,St. Marys
1,1,ADFA,EPI,-0.7,79.21760391,0,7.5,25,9,34,15,113,89,1,280.3,313.7,0,100,0.5291,1,2018,January,0.2045,0.3665,0.162,St. Marys
2,1,ADFA,EPI,-0.5,80.69278819,0,6,6,28,34,6,110,76,1,281.2,297.1,0,100,0.4837,1,2018,January,0.1761,0.3182,0.1421,St. Marys
3,1,ADFA,EPI,-0.6,75.40239373,0,13,8,21,29,3,91,67,1,281.6,296.2,0,100,0.4898,1,2018,January,0.2423,0.425,0.1827,St. Marys
4,1,ADFA,EPI,-0.8,82.41324921,0,6,10,23,33,1,69,45,1,280.4,287.2,0,100,0.4485,1,2018,January,0.2536,0.4626,0.209,St. Marys
5,1,ADFA,EPI,-0.7,81.44409938,Missing flam weight,10.5,20,12,32,2,68,54,1,280.6,293,0,100,0,1,2018,January,0.3864,0.7011,0.3147,St. Marys
6,1,ADFA,EPI,-0.5,69.09451608,Missing flam weight,5,8,28,36,1,111,82,1,282.3,289.1,0,100,0,1,2018,January,0.3529,0.5967,0.2438,St. Marys
1,2,ADFA,EPI,-1.3,80.68807339,0,9.5,21,16,37,6,100,78,1,283.4,288.4,0,100,0.9197,1,2018,January,0.218,0.3939,0.1759,St. Marys
2,2,ADFA,EPI,-1.4,79.1101465,0,5.5,16,26,42,1,104,77,1,276.1,285.3,0,100,0.5066,1,2018,January,0.1843,0.3301,0.1458,St. Marys
3,2,ADFA,EPI,-1.2,78.96048416,0,4.5,10,36,46,1,135,98,1,280.2,297.4,0,100,0.4973,1,2018,January,0.2809,0.5027,0.2218,St. Marys
4,2,ADFA,EPI,-1.2,68.8997244,Missing flam weight,14.5,6,20,26,5,92,67,1,285.1,288.1,0,100,0,1,2018,January,0.2359,0.3984,0.1625,St. Marys
5,2,ADFA,EPI,-2.4,71.2631198,Missing flam weight,4.5,9,31,40,2,92,59,1,281.2,291.9,0,100,0,1,2018,January,0.2763,0.4732,0.1969,St. Marys
6,2,ADFA,EPI,-1.4,74.59272845,0,0,10,-42807,-42797,0,103,42910,0,281.1,0,0,100,0.4763,1,2018,January,0.4635,0.8092,0.3457,St. Marys
6,2,ADFA,EPI,-1.4,74.59272845,missing flam weight,0,16,-43134,-43118,0,136,43270,0,278.6,0,0,100,0,1,2018,January,0.4635,0.8092,0.3457,St. Marys
6,2,ADFA,EPI,-1.4,74.59272845,missing flam weight,15,5,25,30,8,131,98,1,285.7,309.8,0,100,0,1,2018,January,0.4635,0.8092,0.3457,St. Marys
1,3,ADFA,EPI,-2.2,85.13314599,0,0,19,-44017,-43998,0,86,44103,0,286.3,0,0,100,0.4984,1,2018,January,0.3737,0.6918,0.3181,St. Marys
1,3,ADFA,EPI,-2.2,85.13314599,missing flam weight,3.5,9,43,52,1,138,94,1,279.2,298.7,0,100,0,1,2018,January,0.3737,0.6918,0.3181,St. Marys
