date,site,pod,bottle #,spp,spp,new/old,wet weight,dry weight,bottle weight,lfm,predawn1,predawn2,predawn3,midday1,midday2,midday3,predawn,midday,type,doy,location,LFMtlp,Mpatlp,notes
4/24/21,2,2.4,28,CECO,CECO,O,80.9854,72.8769,66.149,120.520519,-0.58,-0.52,,-0.79,-0.72,,-0.55,-0.755,shrub,114,CZO,350.9901204,-2.37890626,
4/24/21,2,2.5,31,ABCO,ABCO,N,83.8004,74.3211,66.8147,126.2829053,-1,-1.19,,-1.51,-1.45,,-1.095,-1.48,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.5,32,ABCO,ABCO,O,76.2106,71.3643,67.0726,112.9226181,-1,-1.19,,-1.51,-1.45,,-1.095,-1.48,tree,114,CZO,165.7,-2.173,
4/24/21,2,2.5,64,ARPA,ARPA,O,82.9068,74.8749,66.9221,100.9946182,-0.82,-0.88,,-1.38,-1.56,,-0.85,-1.47,shrub,114,CZO,108.3036245,-2.378742269,
4/24/21,2,2.5,33,CADE,CADE,N,81.0153,73.5569,67.0385,114.4207167,-0.81,-0.77,,-1.7,-1.68,,-0.79,-1.69,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.5,53,CADE,CADE,O,86.159,76.756,67.5941,102.6315502,-0.81,-0.77,,-1.7,-1.68,,-0.79,-1.69,tree,114,CZO,123.2700516,-2.626049161,
4/24/21,2,2.5,52,CECO,CECO,O,78.5149,72.3683,66.9438,113.311826,-0.98,-1,,-1.45,-1.28,,-0.99,-1.365,shrub,114,CZO,350.9901204,-2.37890626,
5/14/21,2,2.1,20,ABCO,ABCO,old,100.6357,82.2133,67.2395,123.030894,-0.95,-0.81,-0.85,-2.25,-2.16,-2.18,-0.87,-2.196666667,tree,134,CZO,165.7,-2.173,
5/14/21,2,2.1,36,ARPA,ARPA,old,82.5358,74.8133,67.4223,104.4851847,-0.94,-0.45,-0.47,-1.59,-1.45,-1.64,-0.62,-1.56,shrub,134,CZO,108.3036245,-2.378742269,
5/14/21,2,2.1,43,CADE,CADE,new,77.2906,72.0273,67.7621,123.4010128,-0.57,-0.61,,-1.7,-1.7,,-0.59,-1.7,tree,134,CZO,123.2700516,-2.626049161,
