sample,site,round,spp,model,year,month,video.notes,ambient.temp,ambient.humidity,fh,ignition,glow,ignition.temp,ignition.temp.higher,temp.max,temp.max.higher,video.notes,sample.length,mpa,bottle.wt,fresh.wt,dry.wt,sample.wt,prop.new,prop.new.lfm,lfm.notes,lfm,ttfg,gti,tti,fd,gd,pfg,start.temp,temp.start.higher,ttms
2.2,2,2,ABCO,HP,2020,September,,24,59,,1,1,265.5,221.4,278.1,255.2,,10,-1.85,7.8187,9.8006,8.5651,4.4212,55,100,,165.5278671,Ê93,Ê14,Ê107,Ê22,Ê116,Ê80,253,228.5,109
2.2,2,3,ABCO,HP,2020,September,,26,47,,1,1,,,,,thermocoupler turned off for ignition and after ignition,10,-2.25,7.1894,8.6625,7.7317,4.5672,50,100,,171.639314,Ê64,Ê26,Ê90,Ê19,Ê157,Ê112,246.1,230.8,91
2.2,2,4,ABCO,HP,2020,September,,24,56,42,1,1,285.7,219.1,316.1,256.1,,10,-2.82,6.1454,7.5904,6.7606,4.128,70,60,,134.8829649,Ê90,Ê19,Ê109,Ê30,Ê164,Ê115,261.5,225.6,110
2.2,2,5,ABCO,HP,2020,September,,26,50,40,2,1,289.3,245.5,297.8,305.5,2nd ignition recorded; 1st ignition: 19:55:30 to 19:56:03 (very little burned),10,-3.23,6.1884,7.4896,6.6953,4.4092,80,100,,156.6975735,Ê19,Ê111,Ê130,Ê8,Ê207,Ê88,269.4,221.6,131
2.2,2,6,ABCO,HP,2020,September,B 0192 flame  continues,22,60,35,2,0,245.3,205.7,248.1,212,2nd ignition: 10:20:37 to 10:21:27 w/ max temps of 251.2 and 217.8; whole sample not engulfed,10,-2.58,7.2035,8.3467,7.6984,3.4837,55,100,,130.9961608,Ê60,Ê0,Ê60,Ê9,Ê153,Ê144,236.5,210.5,-37157
2.2,2,7,ABCO,HP,2020,September,,22,62,28,1,1,241,204.9,255.8,232,,10,-3.57,7.2264,8.0547,7.5837,3.1149,,,,131.8219983,Ê45,Ê12,Ê57,Ê38,Ê95,Ê45,235.8,207.5,59
2.2,2,8,ABCO,HP,2020,September,,23,57,,1,1,285,224.8,289,232.5,,10,-6.56,7.1897,8.395,7.7323,2.9548,50,100,,122.1341688,Ê153,Ê24,Ê177,Ê7,Ê128,Ê97,255.6,213.7,179
2.2,2,9,ABCO,HP,2020,September,,24,57,,1,0,264.6,208.3,287,283,,10,-3.67,6.1462,7.9927,7.0946,5.3573,0,0,very dead,94.69633066,Ê79,Ê0,Ê79,Ê21,Ê78,Ê57,263.1,216.7,83
2.3,2,1,ABCO,HP,2020,September,,23,61,35,1,1,277.5,228.5,279.7,290.9,max surface temp lower than taller temp,10,-0.35,7.2558,9.1873,7.8074,3.6805,60,100,,250.1631617,Ê53,Ê51,Ê104,Ê6,Ê150,Ê93,278.4,239.1,105
2.3,2,2,ABCO,HP,2020,September,,24,59,,3,1,252.9,236.4,253.1,235.1,,10,-1.45,7.2093,9.1802,7.8117,4.0844,95,100,,227.1746348,Ê139,Ê372,Ê511,Ê3,Ê393,Ê18,245,222.7,511
2.3,2,3,ABCO,HP,2020,September,,26,48,,1,1,258.8,225,264.1,257,,10,-1.87,7.1818,8.8634,7.7336,3.4286,80,100,,204.7480971,Ê57,Ê1,Ê58,Ê9,Ê117,Ê107,262.8,238.3,59
2.3,2,4,ABCO,HP,2020,September,,24,56,29,2,1,285.7,220.1,316.8,248.8,2nd ignition: 11:03:20 to 11:03:24 w max temps of 308.8 and 248.5,10,-2.83,6.1801,7.0707,6.4986,4.134,95,80,,179.6232339,Ê38,Ê28,Ê66,Ê10,Ê219,Ê181,291.7,231.7,67
2.3,2,5,ABCO,HP,2020,September,,26,50,24,1,1,279.7,218.7,309.8,294.5,,10,-2.24,6.2108,7.5307,6.6468,2.4016,,,,202.7293578,Ê55,Ê3,Ê58,Ê10,Ê177,Ê164,266.2,220.9,61
