date	sample	fresh.weight	dry.weight	water.potential	spp	fresh.weight.saturated	RWD	TLP	RWC.at.tlp	Po	SWC	LFM.at.tlp	timing
04.24.2021	1	2.3465		-3.233	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3418		-3.365	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3269		-3.441	ARPA			-2.318153414		-1.669835			spring
04.24.2021	1	2.3269		-3.711	ARPA			-2.318153414		-1.669835			spring
04.24.2021	2	2		-0.321	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6988		-0.471	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6921		-0.659	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.687		-0.832	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6835		-0.934	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6806		-1.071	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.677		-1.241	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6726		-1.368	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6683		-1.525	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6654		-1.605	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6615		-1.713	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6577		-1.842	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6538		-2.08	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6461		-2.162	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6402		-2.341	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.6345		-2.463	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.631		-2.56	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.624		-2.787	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	2	1.617		-2.985	ARPA			-2.058663731		-1.368842626			spring
04.24.2021	3	2.6754		-0.254	ARPA			-2.015475113		-1.403434388			spring
04.24.2021	3	2.6699		-0.343	ARPA			-2.015475113		-1.403434388			spring
